Date : 2022-10-23 16:46:28
Directory : c:\Users\86135\Desktop\CT\projects\dev0.3
Total : 74 files,  2078 codes, 87 comments, 238 blanks, all 2403 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |         44 |        819 |         50 |        148 |      1,017 |
| XML      |         17 |        452 |         10 |         10 |        472 |
| Python   |          9 |        428 |         27 |         37 |        492 |
| Markdown |          4 |        379 |          0 |         43 |        422 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                   |         74 |      2,078 |         87 |        238 |      2,403 |
| .idea                                                                                               |          1 |          8 |          0 |          0 |          8 |
| .idea\artifacts                                                                                     |          1 |          8 |          0 |          0 |          8 |
| driver                                                                                              |          2 |         11 |          0 |          0 |         11 |
| frontend                                                                                            |         42 |        808 |         50 |        148 |      1,006 |
| frontend\exceptions                                                                                 |          1 |          3 |          0 |          1 |          4 |
| frontend\symbol                                                                                     |          4 |        149 |          0 |         40 |        189 |
| frontend\syntax                                                                                     |         35 |        665 |         32 |        105 |        802 |
| frontend\syntax\decl                                                                                |          3 |         68 |          1 |          4 |         73 |
| frontend\syntax\decl\ast                                                                            |          3 |         68 |          1 |          4 |         73 |
| frontend\syntax\expr                                                                                |          7 |        224 |          7 |         30 |        261 |
| frontend\syntax\expr\ast                                                                            |          7 |        224 |          7 |         30 |        261 |
| frontend\syntax\func                                                                                |          8 |        129 |         15 |         28 |        172 |
| frontend\syntax\func\ast                                                                            |          3 |        101 |         15 |         22 |        138 |
| frontend\syntax\func\parse                                                                          |          5 |         28 |          0 |          6 |         34 |
| frontend\syntax\stmt                                                                                |         12 |        167 |          1 |         19 |        187 |
| frontend\syntax\stmt\ast                                                                            |         10 |        136 |          1 |         15 |        152 |
| frontend\syntax\stmt\parser                                                                         |          2 |         31 |          0 |          4 |         35 |
| frontend\tokenize                                                                                   |          2 |         -9 |         18 |          2 |         11 |
| out                                                                                                 |         28 |      1,241 |         37 |         88 |      1,366 |
| out\production                                                                                      |         28 |      1,241 |         37 |         88 |      1,366 |
| out\production\dev0.3                                                                               |         28 |      1,241 |         37 |         88 |      1,366 |
| out\production\dev0.3\.idea                                                                         |         12 |        229 |          0 |          0 |        229 |
| out\production\dev0.3\.idea\artifacts                                                               |          1 |          8 |          0 |          0 |          8 |
| out\production\dev0.3\.idea\libraries                                                               |          6 |         56 |          0 |          0 |         56 |
| out\production\dev0.3\Resourse                                                                      |          9 |        512 |         33 |         41 |        586 |
| out\production\dev0.3\autotest                                                                      |          1 |         65 |          4 |          6 |         75 |
| out\production\dev0.3\frontend                                                                      |          2 |        311 |          0 |         27 |        338 |
+-----------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                            | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\86135\Desktop\CT\projects\dev0.3\.idea\artifacts\dev0_3_jar.xml                            | XML      |          8 |          0 |          0 |          8 |
| c:\Users\86135\Desktop\CT\projects\dev0.3\driver\Config.java                                        | Java     |          8 |          0 |          0 |          8 |
| c:\Users\86135\Desktop\CT\projects\dev0.3\driver\Output.java                                        | Java     |          3 |          0 |          0 |          3 |
| c:\Users\86135\Desktop\CT\projects\dev0.3\frontend\exceptions\FrontendBaseException.java            | Java     |          3 |          0 |          1 |          4 |
| c:\Users\86135\Desktop\CT\projects\dev0.3\frontend\symbol\FuncSymbol.java                           | Java     |         33 |          0 |         11 |         44 |
| c:\Users\86135\Desktop\CT\projects\dev0.3\frontend\symbol\LValSymbol.java                           | Java     |         49 |          0 |         14 |         63 |
| c:\Users\86135\Desktop\CT\projects\dev0.3\frontend\symbol\Symbol.java                               | Java     |          4 |          0 |          2 |          6 |
| c:\Users\86135\Desktop\CT\projects\dev0.3\frontend\symbol\SymbolTable.java                          | Java     |         63 |          0 |         13 |         76 |
| c:\Users\86135\Desktop\CT\projects\dev0.3\frontend\syntax\CompUnitParser.java                       | Java     |          5 |          0 |          1 |          6 |
| c:\Users\86135\Desktop\CT\projects\dev0.3\frontend\syntax\NodeBase.java                             | Java     |         23 |          3 |          5 |         31 |
| c:\Users\86135\Desktop\CT\projects\dev0.3\frontend\syntax\RootNode.java                             | Java     |         34 |          5 |         10 |         49 |
| c:\Users\86135\Desktop\CT\projects\dev0.3\frontend\syntax\Scope.java                                | Java     |          5 |          0 |          3 |          8 |
| c:\Users\86135\Desktop\CT\projects\dev0.3\frontend\syntax\TokenNode.java                            | Java     |         10 |          0 |          5 |         15 |
| c:\Users\86135\Desktop\CT\projects\dev0.3\frontend\syntax\decl\ast\InitValNode.java                 | Java     |         30 |          0 |          1 |         31 |
